Company,valuation,date_Joined,industry,city,country,continent,year_founded,funding,select_investors,unicorn-year,years_to_unicorn,valuation_b,fundings_b,fundings_category,valuation_efficiency
Bytedance,$180B,07-04-2017,Artificial intelligence,Beijing,China,Asia,2012,$8B,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",2017,5,180,8,High Funding,22.5
SpaceX,$100B,01-12-2012,Other,Hawthorne,United States,North America,2002,$7B,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",2012,10,100,7,High Funding,14.28571429
SHEIN,$100B,03-07-2018,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,$2B,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",2018,10,100,2,Medium Funding,50
Stripe,$95B,23-01-2014,Fintech,San Francisco,United States,North America,2010,$2B,"Khosla Ventures, LowercaseCapital, capitalG",2014,4,95,2,Medium Funding,47.5
Klarna,$46B,12-12-2011,Fintech,Stockholm,Sweden,Europe,2005,$4B,"Institutional Venture Partners, Sequoia Capital, General Atlantic",2011,6,46,4,High Funding,11.5
Canva,$40B,08-01-2018,Internet software & services,Surry Hills,Australia,Oceania,2012,$572M,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",2018,6,40,0.572,Medium Funding,69.93006993
Checkout.com,$40B,02-05-2019,Fintech,London,United Kingdom,Europe,2012,$2B,"Tiger Global Management, Insight Partners, DST Global",2019,7,40,2,Medium Funding,20
Instacart,$39B,30-12-2014,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,$3B,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",2014,2,39,3,High Funding,13
JUUL Labs,$38B,20-12-2017,Consumer & retail,San Francisco,United States,North America,2015,$14B,Tiger Global Management,2017,2,38,14,High Funding,2.714285714
Databricks,$38B,05-02-2019,Data management & analytics,San Francisco,United States,North America,2013,$3B,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",2019,6,38,3,High Funding,12.66666667
Revolut,$33B,26-04-2018,Fintech,London,United Kingdom,Europe,2015,$2B,"index Ventures, DST Global, Ribbit Capital",2018,3,33,2,Medium Funding,16.5
Epic Games,$32B,26-10-2018,Other,Cary,United States,North America,1991,$7B,"Tencent Holdings, KKR, Smash Ventures",2018,27,32,7,High Funding,4.571428571
FTX,$32B,20-07-2021,Fintech,,Bahamas,North America,2018,$2B,"Sequoia Capital, Thoma Bravo, Softbank",2021,3,32,2,Medium Funding,16
Fanatics,$27B,06-06-2012,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,$4B,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",2012,10,27,4,High Funding,6.75
Chime,$25B,05-03-2019,Fintech,San Francisco,United States,North America,2013,$2B,"Forerunner Ventures, Crosslink Capital, Homebrew",2019,6,25,2,Medium Funding,12.5
BYJU's,$22B,25-07-2017,Edtech,Bengaluru,India,Asia,2008,$4B,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",2017,9,22,4,High Funding,5.5
J&T Express,$20B,07-04-2021,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,$5B,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",2021,6,20,5,High Funding,4
Xiaohongshu,$20B,31-03-2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,$918M,"GGV Capital, ZhenFund, Tencent",2016,3,20,0.918,Medium Funding,21.78649237
Miro,$18B,05-01-2022,Internet software & services,San Francisco,United States,North America,2011,$476M,"Accel, AltaIR Capital, Technology Crossover Ventures",2022,11,18,0.476,Low Funding,37.81512605
Yuanfudao,$17B,31-05-2017,Edtech,Beijing,China,Asia,2012,$4B,"Tencent Holdings, Warbug Pincus, IDG Capital",2017,5,17,4,High Funding,4.25
Rapyd,$15B,03-12-2019,Fintech,London,United Kingdom,Europe,2016,$770M,"Target Global, General Catalyst, Durable Capital Partners",2019,3,15,0.77,Medium Funding,19.48051948
Discord,$15B,20-04-2018,Internet software & services,San Francisco,United States,North America,2012,$979M,"Benchmark, Greylock Partners, Tencent Holdings",2018,6,15,0.979,Medium Funding,15.32175689
Genki Forest,$15B,01-03-2020,Consumer & retail,Beijing,China,Asia,2016,$721M,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",2020,4,15,0.721,Medium Funding,20.80443828
goPuff,$15B,08-10-2020,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,$3B,"Accel, Softbank Group, Anthos Capital",2020,7,15,3,High Funding,5
Blockchain.com,$14B,17-02-2021,Fintech,London,United Kingdom,Europe,2011,$490M,"Lightspeed Venture Partners, Google Ventures, Lakestar",2021,10,14,0.49,Low Funding,28.57142857
Plaid,$13B,11-12-2018,Fintech,San Francisco,United States,North America,2012,$734M,"New Enterprise Associates, Spar Capital, Index Ventures",2018,6,13,0.734,Medium Funding,17.71117166
Devoted Health,$13B,16-10-2018,Health,Waltham,United States,North America,2017,$2B,"Andreessen Horowitz, F-Prime Capital, Venrock",2018,1,13,2,Medium Funding,6.5
OpenSea,$13B,20-07-2021,E-commerce & direct-to-consumer,New York,United States,North America,2017,$427M,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",2021,4,13,0.427,Low Funding,30.44496487
Grammarly,$13B,10-10-2019,Internet software & services,San Francisco,United States,North America,2009,$400M,"General Catalyst, Institutional Venture Partners, Breyer Capital",2019,10,13,0.4,Low Funding,32.5
Argo AI,$12B,12-07-2019,Artificial intelligence,Pittsburgh,United States,North America,2016,$4B,"Volkswagen Group, Ford Autonomous Vehicles",2019,3,12,4,High Funding,3
Northvolt,$12B,12-06-2019,Other,Stockholm,Sweden,Europe,2016,$4B,"Vattenfall, Volkswagen Group, Goldman Sachs",2019,3,12,4,High Funding,3
Faire,$12B,30-10-2019,Artificial intelligence,San Francisco,United States,North America,2017,$1B,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",2019,2,12,1,Medium Funding,12
Airtable,$12B,15-11-2018,Internet software & services,San Francisco,United States,North America,2013,$1B,"Caffeinated Capital, CRV, Founder Collective",2018,5,12,1,Medium Funding,12
Brex,$12B,05-10-2018,Fintech,San Francisco,United States,North America,2017,$1B,"DST Global, Ribbit Capital, Greenoaks Capital Management",2018,1,12,1,Medium Funding,12
Getir,$12B,26-03-2021,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2015,$2B,"Tiger Global Management, Sequoia Capital, Revo Capital",2021,6,12,2,Medium Funding,6
Biosplice Therapeutics,$12B,06-08-2018,Health,San Diego,United States,North America,2008,$799M,"Vickers Venture Partners, IKEA GreenTech",2018,10,12,0.799,Medium Funding,15.01877347
Bitmain,$12B,06-07-2018,Hardware,Beijing,China,Asia,2015,$765M,"Coatue Management, Sequoia Capital China, IDG Capital",2018,3,12,0.765,Medium Funding,15.68627451
GoodLeap,$12B,13-10-2021,Internet software & services,Roseville,United States,North America,2003,$800M,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",2021,18,12,0.8,Medium Funding,15
Xingsheng Selected,$12B,22-07-2020,E-commerce & direct-to-consumer,Changsha,China,Asia,2009,$5B,"KKR, Tencent Holdings, Sequoia Capital China",2020,11,12,5,High Funding,2.4
ZongMu Technology,$11B,03-06-2021,Auto & transportation,Shanghai,China,Asia,2013,$376M,"LTW Capital, Legend Capital, Qualcomm Ventures",2021,8,11,0.376,Low Funding,29.25531915
Bolt,$11B,29-05-2018,Auto & transportation,Tallinn,Estonia,Europe,2013,$1B,"Didi Chuxing, Diamler, TMT Investments",2018,5,11,1,Medium Funding,11
Swiggy,$11B,21-06-2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,$5B,"Accel India, SAIF Partners, Norwest Venture Partners",2018,4,11,5,High Funding,2.2
Weilong Foods,$11B,08-05-2021,Consumer & retail,Luohe,China,Asia,1999,$558M,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital",2021,22,11,0.558,Medium Funding,19.71326165
Global Switch,$11B,22-12-2016,Hardware,London,United Kingdom,Europe,1998,$5B,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",2016,18,11,5,High Funding,2.2
Bolt,$11B,08-10-2021,Fintech,San Francisco,United States,North America,2014,$1B,"Activant Capital, Tribe Capital, General Atlantic",2021,7,11,1,Medium Funding,11
Celonis,$11B,26-06-2018,Data management & analytics,Munich,Germany,Europe,2011,$1B,"Accel, 83North",2018,7,11,1,Medium Funding,11
Zuoyebang,$10B,18-07-2018,Edtech,Beijing,China,Asia,2014,$3B,"Sequoia Capital China, Xiang He Capital, GGV Capital",2018,4,10,3,High Funding,3.333333333
Ripple,$10B,20-12-2019,Fintech,San Francisco,United States,North America,2012,$294M,"IDG Capital, Venture51, Lightspeed Venture Partners",2019,7,10,0.294,Low Funding,34.01360544
OYO Rooms,$10B,25-09-2018,Travel,Gurugram,India,Asia,2012,$3B,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",2018,6,10,3,High Funding,3.333333333
OutSystems,$10B,05-06-2018,Internet software & services,Boston,United States,North America,2001,$572M,"KKR, ES Ventures, North Bridge Growth Equity",2018,17,10,0.572,Medium Funding,17.48251748
ServiceTitan,$10B,14-11-2018,Internet software & services,Glendale,United States,North America,2012,$1B,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",2018,6,10,1,Medium Funding,10
Alchemy,$10B,28-10-2021,Fintech,San Francisco,United States,North America,2017,$564M,"DFJ Growth Fund, Coatue Management, Addition",2021,4,10,0.564,Medium Funding,17.73049645
Chehaoduo,$10B,12-03-2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,$4B,"Sequoia Capital China, GX Capital",2016,1,10,4,High Funding,2.5
Digital Currency Group,$10B,01-11-2021,Fintech,New York,United States,North America,2015,$1B,"Ribbit Capital, capitalG, Softbank Group",2021,6,10,1,Medium Funding,10
Figma,$10B,30-04-2020,Internet software & services,San Francisco,United States,North America,2012,$333M,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",2020,8,10,0.333,Low Funding,30.03003003
Gusto,$10B,18-12-2015,Fintech,San Francisco,United States,North America,2011,$691M,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",2015,4,10,0.691,Medium Funding,14.47178003
Lalamove,$10B,21-02-2019,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,$2B,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",2019,6,10,2,Medium Funding,5
Notion Labs,$10B,01-04-2020,Internet software & services,San Francisco,United States,North America,2016,$343M,"Index Ventures, Draft Ventures, Felicis Ventures",2020,4,10,0.343,Low Funding,29.15451895
reddit,$10B,31-07-2017,Internet software & services,San Francisco,United States,North America,2005,$1B,"Y Combinator, Sequoia Capital, Coatue Management",2017,12,10,1,Medium Funding,10
Talkdesk,$10B,03-10-2018,Internet software & services,San Francisco,United States,North America,2011,$497M,"DJF, Salesforce Ventures, Storm Ventures",2018,7,10,0.497,Low Funding,20.12072435
Thrasio,$10B,15-07-2020,Other,Walpole,United States,North America,2018,$2B,"Upper90, RiverPark Ventures, Advent International",2020,2,10,2,Medium Funding,5
Dunamu,$9B,22-07-2021,Fintech,Seoul,South Korea,Asia,2012,$71M,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities",2021,9,9,0.071,Low Funding,126.7605634
Yanolja,$9B,10-06-2019,Travel,Seoul,South Korea,Asia,2005,$2B,"SBI Investment Korea, Partners Investment, GIC",2019,14,9,2,Medium Funding,4.5
Pony.ai,$9B,11-07-2018,Artificial intelligence,Fremont,United States,North America,2016,$1B,"Sequoia Capital China, IDG Capital, DCM Ventures",2018,2,9,1,Medium Funding,9
Nuro,$9B,11-02-2019,Auto & transportation,Mountain View,United States,North America,2016,$2B,"SoftBank Group, Greylock Partners, Gaorong Capital",2019,3,9,2,Medium Funding,4.5
